level_0,Action,Documentary,Adventure,Comedy,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Animation,Language,combined_features,title,id,popularity,keywords,index
15387,Action,,,,,,,,,,,,,,,,,,Foreign,Action                  Foreign china self sacrifice fiancé wall death silent film stranger inn expressionism cementery life after death german expressionism ,Destiny,29267,11.266,china self sacrifice fiancé wall death silent film stranger inn expressionism cementery life after death german expressionism ,10
15847,,,,Comedy,,,,,,Music,,,,,,,,,English,   Comedy      Music         English germany transylvania loss of loved one shapeshifting self sacrifice coffin castle vampire ghost ship supernatural black and white silent film seashore vampire bat real estate agent ghoul psychotronic locket sailing ship corpse in coffin nosferatu real estate black death expressionism mountain country sleepwalking romania rat german expressionism dracula ,Nosferatu,653,20.139,germany transylvania loss of loved one shapeshifting self sacrifice coffin castle vampire ghost ship supernatural black and white silent film seashore vampire bat real estate agent ghoul psychotronic locket sailing ship corpse in coffin nosferatu real estate black death expressionism mountain country sleepwalking romania rat german expressionism dracula ,11
16105,,,,Comedy,,,,,,,,,,,,,,,English,   Comedy               English canada winter fishing polar zone harpoon inuit quebec husky kayak walrus arctic polar circle region silent film ,Nanook of the North,669,10.437,canada winter fishing polar zone harpoon inuit quebec husky kayak walrus arctic polar circle region silent film ,12
16278,,,Adventure,,Drama,,,,,,,Romance,,,,,,,English,  Adventure  Drama       Romance       English witch mystic hysteria sorcery superstition insanity satan torture devil demon witchcraft mental illness middle ages silent film satanic ritual love potion spellcasting burned at the stake folk horror accusation nervous disorder ,Häxan,57283,11.533,witch mystic hysteria sorcery superstition insanity satan torture devil demon witchcraft mental illness middle ages silent film satanic ritual love potion spellcasting burned at the stake folk horror accusation nervous disorder ,13
16841,,,,,,,,,,,Mystery,Romance,,,Thriller,,,,English,          Mystery Romance   Thriller    English clock silent film ,Safety Last!,22596,9.788,clock silent film ,14
17609,,,,,Drama,,,,,,,,,,,War,,,English,"    Drama           War   English nordic mythology folk hero iceland nibelungen based on song, poem or rhyme based on myths, legends or folklore burgundy 5th century german mythology ",Die Nibelungen: Siegfried,31506,9.268,"nordic mythology folk hero iceland nibelungen based on song, poem or rhyme based on myths, legends or folklore burgundy 5th century german mythology ",15
17700,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign treasure magic palace flying carpet bagdad rope princess thief suitor disguise apple silent film arabian nights ,The Thief of Bagdad,28963,9.224,treasure magic palace flying carpet bagdad rope princess thief suitor disguise apple silent film arabian nights ,16
17765,,,,Comedy,Drama,,,,,,,,,,,,,,Foreign,   Comedy Drama              Foreign amateur detective pickpocket slapstick jungle motorcycle false accusations silent film projectionist booby trap handkerchief magnifying glass railyard banana peel pearls ,Sherlock Jr.,992,10.169,amateur detective pickpocket slapstick jungle motorcycle false accusations silent film projectionist booby trap handkerchief magnifying glass railyard banana peel pearls ,17
18919,,,,Comedy,,,,,,Music,,,,,,,,,English,   Comedy      Music         English river gold dance worker cabin gold rush thanksgiving love alaska black and white silent film klondike little tramp dance hall ,The Gold Rush,962,16.256,river gold dance worker cabin gold rush thanksgiving love alaska black and white silent film klondike little tramp dance hall ,18
19285,,,,,,,,,,,Mystery,Romance,,,Thriller,,,,English,          Mystery Romance   Thriller    English france patriotism world war i battlefield combat silent film french girl spitting wartime romance 1910s american g.i. war buddies ,The Big Parade,3060,9.898,france patriotism world war i battlefield combat silent film french girl spitting wartime romance 1910s american g.i. war buddies ,19
19315,,,,,,,,,,Music,,Romance,,,,,,,English,         Music  Romance       English odessa baby carriage cossack panic slaughter massacre rage sailor silent film russian revolution revolt imperial russia insubordination port city soviet realism maggots ,Battleship Potemkin,643,16.558,odessa baby carriage cossack panic slaughter massacre rage sailor silent film russian revolution revolt imperial russia insubordination port city soviet realism maggots ,20
19442,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign chariot race leprosy epic revenge silent film seductress sea battle two strip technicolor galley slave enslavement temptress nativity 1st century ,Ben-Hur: A Tale of the Christ,31510,10.436,chariot race leprosy epic revenge silent film seductress sea battle two strip technicolor galley slave enslavement temptress nativity 1st century ,21
20053,,,,,Drama,Family,,,,,,,,,,,,,English,    Drama Family             English prince flying horse sorcerer silent film arabian nights epic poem ,The Adventures of Prince Achmed,19354,10.421,prince flying horse sorcerer silent film arabian nights epic poem ,22
20631,,,,,Drama,,,,,,,Romance,,,,War,,,English,    Drama       Romance    War   English spy southern usa general fiancé cannon bridge engineer army attack train silent film behind enemy lines american civil war crazy stunts bridge collapse ,The General,961,15.047,spy southern usa general fiancé cannon bridge engineer army attack train silent film behind enemy lines american civil war crazy stunts bridge collapse ,23
20811,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English man vs machine based on novel or book underground world inventor metropolis future class society dystopia tower of babel delirium steampunk mad scientist prophet black and white robot destruction silent film expressionism seven deadly sins depravity mob justice downtrodden saviour social unrest german expressionism mediator ,Metropolis,19,21.432,man vs machine based on novel or book underground world inventor metropolis future class society dystopia tower of babel delirium steampunk mad scientist prophet black and white robot destruction silent film expressionism seven deadly sins depravity mob justice downtrodden saviour social unrest german expressionism mediator ,24
21081,,,,,,,,,,Music,,,,,,,,Animation,English,         Music        Animation English french revolution biography black and white political campaign silent film french impressionism ,Napoleon,42536,12.634,french revolution biography black and white political campaign silent film french impressionism ,25
21225,,,Adventure,,Drama,,,,,,,Romance,,,,,Western,,English,"  Adventure  Drama       Romance     Western  English paris, france love triangle world war i friendship battlefield gay interest aerial combat dogfight black and white warfare silent film us military 1910s fighter pilots ",Wings,28966,10.121,"paris, france love triangle world war i friendship battlefield gay interest aerial combat dogfight black and white warfare silent film us military 1910s fighter pilots ",26
21238,Action,,,,,,,,,,Mystery,Romance,,,,,Western,,English,Action          Mystery Romance     Western  English circus love knife throwing silent film psychotronic armless circus performer ,The Unknown,27503,10.945,circus love knife throwing silent film psychotronic armless circus performer ,27
21535,,,,Comedy,,,,,,,,,,,,,,Animation,Foreign,   Comedy              Animation Foreign love triangle adultery lake country life indian summer  pig marriage crisis rural area redemption storm silent film farmer troubled marriage german expressionism ,Sunrise: A Song of Two Humans,631,12.449,love triangle adultery lake country life indian summer  pig marriage crisis rural area redemption storm silent film farmer troubled marriage german expressionism ,28
21589,,,,,Drama,,,,,,,,,,,,,,Foreign,"    Drama              Foreign new york city san francisco, california dancer parent child relationship generations conflict jewish life jewish ghetto black and white ",The Jazz Singer,939,11.707,"new york city san francisco, california dancer parent child relationship generations conflict jewish life jewish ghetto black and white ",29
22057,,,,,Drama,,,,,,,Romance,,,,,,,Foreign,    Drama       Romance       Foreign circus tramp black and white silent film employer employee relationship little tramp ,The Circus,28978,10.523,circus tramp black and white silent film employer employee relationship little tramp ,30
22210,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English new york city marriage tragedy silent film ,The Crowd,3061,9.991,new york city marriage tragedy silent film ,31
22403,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign judge woman martyr heresy court case suffering sentence torture chamber religion trial saint martyrdom dove silent film catholicism martyr joan of arc forgery judiciary 15th century burning at stake holy communion bloodletting ,The Passion of Joan of Arc,780,11.785,judge woman martyr heresy court case suffering sentence torture chamber religion trial saint martyrdom dove silent film catholicism martyr joan of arc forgery judiciary 15th century burning at stake holy communion bloodletting ,32
22419,,,,,,,,,,,,,,,,,,Animation,English,                 Animation English clown psychotronic jester ,The Man Who Laughs,27517,10.42,clown psychotronic jester ,33
22775,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English date love at first sight chinatown street war beautiful woman secretary black and white monkey policeman infatuation silent film baseball stadium streetcar newsreel cameraman heroic rescue public pool newsreel office ,The Cameraman,31411,9.061,date love at first sight chinatown street war beautiful woman secretary black and white monkey policeman infatuation silent film baseball stadium streetcar newsreel cameraman heroic rescue public pool newsreel office ,34
23004,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English musical ,Steamboat Willie,53565,10.443,musical ,35
23281,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign soviet union montage silent film cameraman 1920s soviet realism ,Man with a Movie Camera,26317,10.628,soviet union montage silent film cameraman 1920s soviet realism ,36
23337,,,,,Drama,,,,,,,,,,,,,,Foreign,"    Drama              Foreign london, england casino loss of loved one forbidden love femme fatale remake based on play or musical reward silent film expressionism german expressionism ",Pandora's Box,905,11.218,"london, england casino loss of loved one forbidden love femme fatale remake based on play or musical reward silent film expressionism german expressionism ",37
23340,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English new york city musical singer black and white pre-code vaudeville wisecrack humor broadway show early sound film partially lost film ,The Broadway Melody,65203,10.116,new york city musical singer black and white pre-code vaudeville wisecrack humor broadway show early sound film partially lost film ,38
23706,,,,,,,,,,,,,,,,,,Animation,English,                 Animation English musical jewel thief real estate ,The Cocoanuts,20625,9.722,musical jewel thief real estate ,39
23744,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign dream cloud razor ant surreal donkey surrealism priest midnight movie death cult film psychotronic severed hand piano short film ,Un Chien Andalou,626,13.686,dream cloud razor ant surreal donkey surrealism priest midnight movie death cult film psychotronic severed hand piano short film ,40
24813,,,,Comedy,Drama,,,History,,,,,,,,,,,English,   Comedy Drama   History           English based on novel or book professor unrequited love black and white traveling circus pre-code expressionism cabaret performer ,The Blue Angel,228,10.133,based on novel or book professor unrequited love black and white traveling circus pre-code expressionism cabaret performer ,41
24874,,,,,,,,,,,,Romance,,,,,,,Foreign,           Romance       Foreign germany disillusion patriotism world war i friendship army boot camp battlefield steel helmet atrocity black and white soldier combat warfare death pre-code anti war mud trenches young soldier battlefield trauma ,All Quiet on the Western Front,143,16.39,germany disillusion patriotism world war i friendship army boot camp battlefield steel helmet atrocity black and white soldier combat warfare death pre-code anti war mud trenches young soldier battlefield trauma ,42
25245,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign musical mystery based on play or musical whodunit black and white pre-code ,Animal Crackers,13913,11.38,musical mystery based on play or musical whodunit black and white pre-code ,43
25527,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English morocco foreign legion pre-code nightclub singer ,Morocco,42641,12.321,morocco foreign legion pre-code nightclub singer ,44
25804,,,,,,,,,,,,,,,,,,Animation,English,                 Animation English robbery based on novel or book gangster rise and fall crime boss murder organized crime pre-code teetotaler ,Little Caesar,27899,9.267,robbery based on novel or book gangster rise and fall crime boss murder organized crime pre-code teetotaler ,45
25894,,,,,,,,,,,,,,,,War,,,English,               War   English suicide attempt operation blindness and impaired vision love of one's life eye operation flower shop flower girl tramp love black and white millionaire silent film blind girl little tramp ,City Lights,901,16.624,suicide attempt operation blindness and impaired vision love of one's life eye operation flower shop flower girl tramp love black and white millionaire silent film blind girl little tramp ,46
26226,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign anti hero gangster organized crime tragedy best friend juvenile delinquent pre-code grapefruit ,The Public Enemy,17687,10.74,anti hero gangster organized crime tragedy best friend juvenile delinquent pre-code grapefruit ,47
26289,,,,Comedy,Drama,,,,,,,,,,,,,,Foreign,"   Comedy Drama              Foreign germany berlin, germany child murder detective inspector investigation psychopath organized crime black and white criminal child killer pre-code psycho expressionism german expressionism ",M,832,14.617,"germany berlin, germany child murder detective inspector investigation psychopath organized crime black and white criminal child killer pre-code psycho expressionism german expressionism ",48
26407,,,,Comedy,,,,,,,,,,,,,,,Foreign,,Baby's Laxative,127082,14.384,,49
26664,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign stowaway ship pre-code ,Monkey Business,13911,12.296,stowaway ship pre-code ,50
26937,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign fire based on novel or book monster experiment reanimation laboratory mad doctor black and white pre-code body part angry mob villager frankenstein ,Frankenstein,3035,16.709,fire based on novel or book monster experiment reanimation laboratory mad doctor black and white pre-code body part angry mob villager frankenstein ,51
27120,,,Adventure,,,,,,,,,,,,,,,,Foreign,  Adventure                Foreign egypt virgin museum mummy incantation reincarnation resurrection buried alive excavation trance goddess sorcerer black and white african archaeologist pre-code priestess eternal love condemned man buried tomb ancient curse ancient scroll ,The Mummy,15849,13.866,egypt virgin museum mummy incantation reincarnation resurrection buried alive excavation trance goddess sorcerer black and white african archaeologist pre-code priestess eternal love condemned man buried tomb ancient curse ancient scroll ,52
27304,,,,,Drama,,,,,,,,,,Thriller,,,,English,    Drama          Thriller    English hotel mythology artist poet snow snowball fight oneiric statue ,The Blood of a Poet,36877,9.923,hotel mythology artist poet snow snowball fight oneiric statue ,53
27394,,,Adventure,,,,Fantasy,,,,,Romance,,,,,,,English,  Adventure    Fantasy     Romance       English dwarf infidelity attempted murder clown beauty carnival revenge murder cult film newlywed bigotry disability sideshow told in flashback speech impediment trapeze artist stutterer deformity conjoined twins freak armless midgets midget bareback rider legless man poisoned drink pseudo-hermaphrodite bearded lady microcephalics human skeleton ,Freaks,136,15.702,dwarf infidelity attempted murder clown beauty carnival revenge murder cult film newlywed bigotry disability sideshow told in flashback speech impediment trapeze artist stutterer deformity conjoined twins freak armless midgets midget bareback rider legless man poisoned drink pseudo-hermaphrodite bearded lady microcephalics human skeleton ,54
27565,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign africa based on novel or book expedition hippopotamus tarzan jungle pre-code chimpanzee ape man stampede elephant stampede ,Tarzan the Ape Man,26845,15.896,africa based on novel or book expedition hippopotamus tarzan jungle pre-code chimpanzee ape man stampede elephant stampede ,55
27605,,,,,Drama,,,,,,,,,,,War,,Animation,English,"    Drama           War  Animation English sibling relationship chicago, illinois alcohol based on novel or book prohibition era gang war gangster ambition beer police noir murder mobster black and white pre-code ",Scarface,877,24.011,"sibling relationship chicago, illinois alcohol based on novel or book prohibition era gang war gangster ambition beer police noir murder mobster black and white pre-code ",56
27653,Action,,,,,,,,,,Mystery,,,,,,,,Foreign,Action          Mystery        Foreign hotel card game burglar industrialist stolen money baron dying man murder based on play or musical tragic love black and white conscience jewel thief pre-code merger public humiliation revolving door dachshund stenographer flirtation prima ballerina bookkeeper all-star cast ,Grand Hotel,33680,9.835,hotel card game burglar industrialist stolen money baron dying man murder based on play or musical tragic love black and white conscience jewel thief pre-code merger public humiliation revolving door dachshund stenographer flirtation prima ballerina bookkeeper all-star cast ,57
27675,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English black and white falling down stairs piano workplace comedy delivery man player piano short film ,The Music Box,44892,9.307,black and white falling down stairs piano workplace comedy delivery man player piano short film ,58
28190,,,,,Drama,,,,,,,,Science Fiction,,,,,,English,    Drama        Science Fiction      English crocodile hunting human beings fistfight hunting remote island pre-code based on short story sole survivor reef attacked by a dog mute villain nobleman human prey big game hunter ,The Most Dangerous Game,1994,9.227,crocodile hunting human beings fistfight hunting remote island pre-code based on short story sole survivor reef attacked by a dog mute villain nobleman human prey big game hunter ,59
28678,,,,,,,,,,,,,,,,,,,English,                  English based on novel or book exotic island mad scientist man beast pre-code south sea island turned into animal ,Island of Lost Souls,3031,14.099,based on novel or book exotic island mad scientist man beast pre-code south sea island turned into animal ,60
28958,,,,,,,,,,,,,,,,,Western,,English,"                Western  English london, england world war i black and white pre-code upstairs downstairs early 1900s wealthy family ",Cavalcade,56164,11.3,"london, england world war i black and white pre-code upstairs downstairs early 1900s wealthy family ",61
29051,,,,Comedy,,,,,,Music,,,,,,,,,Foreign,   Comedy      Music         Foreign new york city screenplay movie business exotic island island ship great depression unsociability dinosaur black and white pre-code sea voyage damsel in distress empire state building giant ape animal horror great ape ,King Kong,244,28.363,new york city screenplay movie business exotic island island ship great depression unsociability dinosaur black and white pre-code sea voyage damsel in distress empire state building giant ape animal horror great ape ,62
29370,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign musical great depression mistaken identity songwriter pre-code hard times chorus girl broadway musical hidden identity show girls ,Gold Diggers of 1933,31511,11.621,musical great depression mistaken identity songwriter pre-code hard times chorus girl broadway musical hidden identity show girls ,63
29371,,,,,Drama,,,,,,,Romance,,,,,,,Foreign,    Drama       Romance       Foreign pig cartoon short film ,Three Little Pigs,34463,14.828,pig cartoon short film ,64
29523,,,,,Drama,,,,,,,,,,,,,,English,"    Drama              English paris, france new york city ambition friedrich nietzsche mistress pre-code speakeasy gold digger flirtation kept woman ",Baby Face,27449,9.797,"paris, france new york city ambition friedrich nietzsche mistress pre-code speakeasy gold digger flirtation kept woman ",65
29907,Action,,,,Drama,,,,,,,,,,,War,,,English,Action    Drama           War   English based on novel or book chemical train accident insanity murder mad scientist fugitive snow chemist scientist invisible invisible person invisibility manhunt experiment gone awry invisible man ,The Invisible Man,10787,14.944,based on novel or book chemical train accident insanity murder mad scientist fugitive snow chemist scientist invisible invisible person invisibility manhunt experiment gone awry invisible man ,66
29949,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign dictator spy ambassador siege widow musical slapstick cigar smoking lemonade pre-code dowager fictitious country geofiction ,Duck Soup,3063,15.135,dictator spy ambassador siege widow musical slapstick cigar smoking lemonade pre-code dowager fictitious country geofiction ,67
29957,Action,,,,,,,History,,,,,,,,,,,English,Action       History           English coming of age american civil war ,Little Women,39938,12.306,coming of age american civil war ,68
30105,,,,Comedy,,,,,,Music,,,,,,,,,Foreign,   Comedy      Music         Foreign based on young adult novel ,Alice in Wonderland,25694,13.285,based on young adult novel ,69
30157,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign husband wife relationship oath deceived wife lodge deception black and white pre-code next door neighbor convention ,Sons of the Desert,43128,9.959,husband wife relationship oath deceived wife lodge deception black and white pre-code next door neighbor convention ,70
30436,,,,,,,,,,,,,,,,,Western,,English,                Western  English ant cartoon aesop's fables short film ,The Grasshopper and the Ants,81077,10.543,ant cartoon aesop's fables short film ,71
30465,,,,,Drama,,,,,,,,,,,,,,Foreign,"    Drama              Foreign miami, florida newspaper marriage reporter screwball comedy socialite pre-code based on short story screwball hitchhiking road movie rich girl brat ",It Happened One Night,3078,11.628,"miami, florida newspaper marriage reporter screwball comedy socialite pre-code based on short story screwball hitchhiking road movie rich girl brat ",72
30721,,,,,,,,History,,,,,,,,War,,,Foreign,       History        War   Foreign little red riding hood cartoon short film ,The Big Bad Wolf,109298,11.245,little red riding hood cartoon short film ,73
30725,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign africa expedition lion elephant crocodile greed rhinoceros tarzan deception wildlife jungle sacred ground pre-code chimpanzee ape man ivory ,Tarzan and His Mate,18994,10.373,africa expedition lion elephant crocodile greed rhinoceros tarzan deception wildlife jungle sacred ground pre-code chimpanzee ape man ivory ,74
30757,,,,,,,,,,,,,,,,,Western,,Foreign,                Western  Foreign depression marriage surrealism underwater barge marital problem ,L'Atalante,43904,9.909,depression marriage surrealism underwater barge marital problem ,75
30791,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign chess hungary prisoner of war black and white train storm edgar allan poe black cat newlywed pre-code based on short story psychotronic fear of cats bus crash ,The Black Cat,24106,9.237,chess hungary prisoner of war black and white train storm edgar allan poe black cat newlywed pre-code based on short story psychotronic fear of cats bus crash ,76
30885,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign detective husband wife relationship police mistress dinner wedding dog police detective screwball comedy private detective missing person pre-code terrier thin man x-ray christmas ,The Thin Man,3529,16.151,detective husband wife relationship police mistress dinner wedding dog police detective screwball comedy private detective missing person pre-code terrier thin man x-ray christmas ,77
30936,,,,Comedy,,Family,,,,Music,,,,,,,Western,Animation,Foreign,   Comedy  Family    Music       Western Animation Foreign cartoon cartoon chicken cartoon pig harvest faking illness short film ,The Wise Little Hen,91815,9.708,cartoon cartoon chicken cartoon pig harvest faking illness short film ,78
30994,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign waitress baby self-destruction unrequited love inheritance doctor destruction pre-code tuberculosis medical school unwed mother mistreatment meltdown aspiring artist jilted woman spurned man club foot destitution vitriol savings bonds ,Of Human Bondage,43905,10.049,waitress baby self-destruction unrequited love inheritance doctor destruction pre-code tuberculosis medical school unwed mother mistreatment meltdown aspiring artist jilted woman spurned man club foot destitution vitriol savings bonds ,79
31367,,,,,Drama,,,,,Music,,Romance,,,,,,,English,"    Drama     Music  Romance       English london, england dancing entertainer nightclub musical aunt mistaken identity brighton, england, uk misunderstanding singing divorce song and dance ",The Gay Divorcee,28288,11.408,"london, england dancing entertainer nightclub musical aunt mistaken identity brighton, england, uk misunderstanding singing divorce song and dance ",80
31494,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English holiday fairy tale musical boogeyman based on play or musical black and white mortgage forced marriage wooden soldier ,Babes in Toyland,25898,12.027,holiday fairy tale musical boogeyman based on play or musical black and white mortgage forced marriage wooden soldier ,81
31591,,,,,,,,,,,,,,,,,,,English,"                  English kidnapping concert murder shootout black and white criminal clue dentist hypnotism ski resort brawl assassination plan corrupt church cymbals sharpshooting worship service saint moritz, switzerland ",The Man Who Knew Too Much,8208,10.816,"kidnapping concert murder shootout black and white criminal clue dentist hypnotism ski resort brawl assassination plan corrupt church cymbals sharpshooting worship service saint moritz, switzerland ",82
31891,,,,Comedy,,,,,,Music,,,,,,,,,Foreign,   Comedy      Music         Foreign tortoise aesop's fables short film ,The Tortoise and the Hare,58159,11.774,tortoise aesop's fables short film ,83
32238,,,,,Drama,,,,,,,Romance,,,,,,,English,"    Drama       Romance       English propaganda nuremberg, germany woman director nsdap (nazi party) rally adolf hitler ",Triumph of the Will,39266,10.359,"propaganda nuremberg, germany woman director nsdap (nazi party) rally adolf hitler ",84
32339,,,,Comedy,,,,,,,,,,,,,Western,,English,   Comedy             Western  English lightning cemetery monster hermit mill mad scientist black and white comedic relief frankenstein ,The Bride of Frankenstein,229,16.536,lightning cemetery monster hermit mill mad scientist black and white comedic relief frankenstein ,85
32424,,Documentary,,,,,,,,,,,,,,,,,Foreign," Documentary                 Foreign london, england moon himalaya monster zoo moonlight murder mad scientist wolfman werewolf black and white creature lycanthrope ",Werewolf of London,27970,11.358,"london, england moon himalaya monster zoo moonlight murder mad scientist wolfman werewolf black and white creature lycanthrope ",86
32517,,,,,,,,,,,,,,,,,,,English,"                  English london, england scotland falsely accused scotland yard secret agent noir murder conspiracy on the run fugitive black and white moor (terrain) handcuffed campaign speech college professor memorization government secrets runaway couple posing as newlyweds suspicious husband london palladium ",The 39 Steps,260,9.548,"london, england scotland falsely accused scotland yard secret agent noir murder conspiracy on the run fugitive black and white moor (terrain) handcuffed campaign speech college professor memorization government secrets runaway couple posing as newlyweds suspicious husband london palladium ",87
32740,,,,,,,,,,,Mystery,,,,,,,,English,"          Mystery        English venice, italy london, england dancing dance musical tap dancing stage show fashion designer based on play or musical mistaken identity singing black and white fashion valet rapier song and dance ",Top Hat,3080,11.691,"venice, italy london, england dancing dance musical tap dancing stage show fashion designer based on play or musical mistaken identity singing black and white fashion valet rapier song and dance ",88
33062,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign opera cross dressing ,A Night at the Opera,37719,10.561,opera cross dressing ,89
33096,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign captain boat mutiny island sailing ship tahiti based on true story 18th century tyrant flogging voyage high seas ,Mutiny on the Bounty,12311,11.492,captain boat mutiny island sailing ship tahiti based on true story 18th century tyrant flogging voyage high seas ,90
33281,,,Adventure,Comedy,,,,History,,,,Romance,,,,,,,Foreign,  Adventure Comedy    History    Romance       Foreign jamaica exile governor sword fight treason piracy pirate doctor slave physician swashbuckler irishman buccaneer sea battle pirate ship rebel leader 17th century sold into slavery ,Captain Blood,16905,9.605,jamaica exile governor sword fight treason piracy pirate doctor slave physician swashbuckler irishman buccaneer sea battle pirate ship rebel leader 17th century sold into slavery ,91
33597,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign arizona gangster noir based on play or musical fugitive diner drifter desert hostage situation aspiration poetry recitation françois villon isolated place kindred spirit roadside diner ,The Petrified Forest,17030,10.804,arizona gangster noir based on play or musical fugitive diner drifter desert hostage situation aspiration poetry recitation françois villon isolated place kindred spirit roadside diner ,92
33620,Action,,Adventure,,,,,,,,,,,,,,,,English,Action  Adventure                English factory ambulance invention tramp great depression industrial revolution slapstick black and white machine pardon guilty silent film ,Modern Times,3082,16.521,factory ambulance invention tramp great depression industrial revolution slapstick black and white machine pardon guilty silent film ,93
